Type (Head),Thread,Lenghth,Color (Material),Special icon,Link TME,Link2,Link3,Link spojovaci material,,
Flat,M2.5,16,,,,https://www.briol.cz/cs/p-42-sroub-torx-zapustna-hlava-din-7991tx?v=566_43_568_105_388&c=31911.01&gad=1&gclid=CjwKCAjwm4ukBhAuEiwA0zQxkxsVbuVVoB4fvVywGJjlNbXvFfAvKPvu7uRWqGOr7U7RvwPHP0mJwBoC-WkQAvD_BwE,,,,
Washer,3,,,,https://www.tme.eu/cz/details/b3_bn715/podlozky/bossard/1267663/,,,http://www.spojovaci-material.net/sp/podlozky/ploche/din125a-pod-sestihran/ocel-100hv/bez-povrchove-upravy/podlozka-plocha-din-125a-m3-3-2-15301.html,,
Washer,3,,Plastic,,https://www.tme.eu/cz/details/b3_bn1074/podlozky/bossard/1404830/,,,http://www.spojovaci-material.net/sp/podlozky/ploche/din125a-pod-sestihran/plast/pa/podlozka-plocha-din-125a-m3-3-2-plastova-19261.html,,
Nut,M3,,,,https://www.tme.eu/cz/details/b3_bn117/matice/bossard/1874659/,,,http://www.spojovaci-material.net/sp/matice/sestihranne/presne-din-934/ocel-tridy-8/pozink/matice-din-934-m3-08-pozink-6752.html,,
Nut,M3,,Plastic,,https://www.tme.eu/cz/details/fix-m3/matice/fix-fasten/,,,,,
Lock nut,M3,,,,https://www.tme.eu/cz/details/b3_bn161/matice/bossard/1094904/,,,http://www.spojovaci-material.net/sp/matice/sestihranne-pojistne/s-nylon-vlozkou-din-985/ocel-tridy-8/pozink/matice-samojistna-din-985-m3-06-pozink-13887.html,,
Insert,M3,,,,https://www.tme.eu/cz/details/kvt-001m3/zavitove-vlozky/tappex/300113358/,,,,,
Insert,M3,,Flanged,,https://www.tme.eu/cz/details/kvt-071m3/zavitove-vlozky/tappex/071m3/,,,,,
Socket,M3,6,,,https://www.tme.eu/cz/details/b3x6_bn3/srouby/bossard/1003755/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-10-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x6-10-9-13644.html,,
Socket,M3,16,Black,,https://www.tme.eu/cz/details/b3x16_bn272/srouby/bossard/1000071/,,,,,
Socket,M3,8,,,https://www.tme.eu/cz/details/b3x8_bn3/srouby/bossard/1003763/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-10-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x8-10-9-13645.html,,
Socket,M3,10,,,https://www.tme.eu/cz/details/b3x10_bn3/srouby/bossard/1003771/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-10-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x10-10-9-13646.html,,
Socket,M3,12,,,https://www.tme.eu/cz/details/b3x12_bn3/srouby/bossard/1003798/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-10-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x12-10-9-13647.html,,
Socket,M3,16,,,https://www.tme.eu/cz/details/b3x16_bn3/srouby/bossard/1003828/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-10-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x16-10-9-3126.html,,
Socket,M3,20,,,https://www.tme.eu/cz/details/b3x20_bn17/srouby/bossard/3646126/,https://www.tme.eu/cz/details/b3x20_bn610/srouby/bossard/1032658/,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-8-8/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x20-8-8-2478.html,,
Socket,M3,25,,,https://www.tme.eu/cz/details/b3x25_bn17/srouby/bossard/3646127/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-8-8/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x25-8-8-2480.html,,
Socket,M3,30,,,https://www.tme.eu/cz/details/b3x30_bn17/srouby/bossard/3646128/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-8-8/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x30-8-8-2481.html,,
Socket,M3,6,Black,,https://www.tme.eu/cz/details/b3x6_bn272/srouby/bossard/1000020/,,,,,
Socket,M3,8,Black,,https://www.tme.eu/cz/details/b3x8_bn272/srouby/bossard/1000039/,,,,,
Socket,M3,10,Black,,https://www.tme.eu/cz/details/b3x10_bn272/srouby/bossard/1000047/,,,,,
Socket,M3,12,Black,,https://www.tme.eu/cz/details/b3x12_bn272/srouby/bossard/1000055/,,,,,
Socket,M3,16,Black,,https://www.tme.eu/cz/details/b3x16_bn272/srouby/bossard/1000071/,,,,,
Socket,M3,20,Black,,https://www.tme.eu/cz/details/b3x20_bn272/srouby/bossard/1301799/,,,,,
Socket,M3,25,Black,,,,,,,
Socket,M3,30,Black,,https://www.tme.eu/cz/details/b3x30_bn7/srouby/bossard/1006711/,,,,,
Socket,M3,35,,,https://www.tme.eu/cz/details/m3x35_d912-a4/srouby/kraftberg/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-8-8/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x35-8-8-2482.html,,
Socket,M3,40,,,https://www.tme.eu/cz/details/b3x40_bn613/srouby/bossard/1406795/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-8-8/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m3x40-8-8-2483.html,,
Flat,M3,8,,,https://www.tme.eu/cz/details/b3x8_bn21/srouby/bossard/1022768/,,,,,
Flat,M3,12,,,https://www.tme.eu/cz/details/k3x12-iso10642-a4/srouby/kraftberg/,,,,,
Flat,M3,16,,,https://www.tme.eu/cz/details/k3x16-iso10642-a2/srouby/kraftberg/,,,,,
Flat,M3,20,,,https://www.tme.eu/cz/details/k3x20-iso10642-a2/srouby/kraftberg/,,,,,
,,,,,,,,,,
,,,,,,,,,,
Spacer,M3,10,in-out,,https://www.tme.eu/cz/details/tfm-m3x10_dr225/distancni-prvky-kovove/dremec/225x10/,,,,,
Spacer,M3,15,in-out,,https://www.tme.eu/cz/details/tfm-m3x15_dr225/distancni-prvky-kovove/dremec/225x15/,,,,,
Spacer,M3,20,in-out,,https://www.tme.eu/cz/details/tfm-m3x20_dr225/distancni-prvky-kovove/dremec/225x20/,,,,,
Spacer,M3,25,in-out,,https://www.tme.eu/cz/details/tfm-m3x25_dr225/distancni-prvky-kovove/dremec/225x25/,,,,,
Spacer,M3,30,in-out,,https://www.tme.eu/cz/details/tfm-m3x30_dr225/distancni-prvky-kovove/dremec/225x30/,,,,,
Spacer,M3,40,in-out,,https://www.tme.eu/cz/details/tfm-m3x40_dr244/distancni-prvky-kovove/dremec/244x40/,,,,,
Spacer,M3,45,in-out,,https://www.tme.eu/cz/details/tfm-m3x45_dr224/distancni-prvky-kovove/dremec/224x45/,,,,,
Spacer,M3,10,in-in,,https://www.tme.eu/cz/details/tff-m3x10_dr125/distancni-prvky-kovove/dremec/125x10/,,,,,
